Internal ID,Product Code,Suggested Name,Website Category,Sub-brand,Description,Short Description,Certification,,
1033,DPEX6,Commander 6kg ABC Dry Powder,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Full range of spare parts available
",ABC powder is a multi-purpose extinguishing medium with excellent knock-down properties. The 9kg unit is  supplied with a protective plastic base with hose stowage socket.,,13,
1279,FSEX6,Commander 6ltr AFF Foam,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
Supplied with wall bracket
",Foam is always an excellent choice for Class A and B fires.,,5,
1712,WSEX6,Commander 6ltr Water,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
","Economical, non-hazardous and easy to work with, water is the most popular extinguishing medium for Class A fires. With spray nozzles, rather than jet, these units have excellent fire-fighting capability, even in the hands of a novice.

",,17,
1696,WCEX6,Commander 6ltr Wet Chemical,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• High quality lance and hose assemblies on both models
• Full range of spare parts available
• “Easy Clean” design
",The Commander range Wet Chemical extinguishers provide the ideal and effective answer to Class F fires. The 6 litre units have been designed to provide a hygienic “Easy Clean” solution to meet the demands of commercial kitchen environments. The 3 litre size is ideal for the smaller kitchen and can be easily removed from the bracket for cleaning. The stainless steel central strap holds the extinguisher firm and prevents accidental displacement.,,15,
1036,DPEX9,Commander 9kg ABC Dry Powder,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Full range of spare parts available
",ABC powder is a multi-purpose extinguishing medium with excellent knock-down properties. The 9kg unit is supplied with a protective plastic base with hose stowage socket.,,30,
1282,FSEX9,Commander 9ltr AFF Foam,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
",Foam is always an excellent choice for Class A and B fires. ,,33,
1283,FSEX9/AR,Commander 9ltr AFF Foam (Alcohol Resistant),Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection (excludes 1 & 2 ltr)
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
","Foam is always an excellent choice for Class A and B fires. The increasingly-popular 3 litre model combines light weight, compact design and a 13A/55B fire rating. The 1 and 2 litre models are supplied with sturdy transport brackets.",,241,
1716,WSEX9,Commander 9ltr Water,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
","Economical, non-hazardous and easy to work with, water is the most popular extinguishing medium for Class A fires. With spray nozzles, rather than jet, these units have excellent fire-fighting capability, even in the hands of a novice.

",,16,
2321,COEX2AC,Commander Contempo 2kg CO2 - Antique Copper,Fire Extinguishers,Contempo® ,"• 34B rating
• Corrosion-resistant finish
• 5-year warranty
• Plastic base skirt for protection
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching brushed antique copper tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,151,
722,COEX2P,Commander Contempo 2kg CO2 - Polished,Fire Extinguishers,Contempo® ,·         Supplied with double-wall swivel horn and wall-mounting bracket.,"Polished alloy 2kg CO2 Extinguisher.

Highly-polished alloy cylinders make these extinguishers the choice for areas where appearance is a consideration.  Now with stainless steel handles and brass valve bodies, they are almost completely corrosion-resistant in even the harshest environments.

Supplied with double-wall swivel horn and wall-mounting bracket.",,14,
