Internal ID,Product Code,Suggested Name,Agent,Website Category,Sub-Category,Sub-brand,Description,Short Description,Fire Rating,Certification,Toolkit
1503,PS05/O,Universal 4mm Pins - Orange,,Ancillary Products,Pins & Sealing Products,,"� 4mm
� Orange
",Stop the extinguisher handles from being accidentally depressed ,,,
2296,PS05/YE,Universal 4mm Pins - Yellow,,Ancillary Products,Pins & Sealing Products,,"� 4mm
� Yellow
",Stop the extinguisher handles from being accidentally depressed ,,,
2294,PS05/R,Universal 4mm Pins - Red,,Ancillary Products,Pins & Sealing Products,,"� 4mm
� Red
",Stop the extinguisher handles from being accidentally depressed ,,,
